Transaction ID,Transaction
Trans1,"Monitor, Printer, 1TB SSD, Adobe, JBL Speakers, Anti-Virus"
Trans2,"Laptop, 1TB SSD, Adobe, Laptop case, Anti-Virus"
Trans3,"Laptop, Printer, 1TB SSD, Adobe, Anti-Virus, Laptop case, Pen Drive"
Trans4,"Laptop, Printer, 1TB SSD, Anti-Virus, Pen Drive, Laptop case"
Trans5,"Laptop, 1TB SSD, Laptop case, Anti-Virus"
Trans6,"Laptop, Printer, 1TB SSD, Adobe"
Trans7,"Monitor, Printer, 1TB SSD, Adobe"
Trans8,"Laptop, Pen Drive, Anti-Virus"
Trans9,"Monitor, Printer, 1TB SSD, Adobe, Laptop case, Anti-Virus, JBL Speakers, Pen Drive"
Trans10,"Camera, Laptop, Monitor, Printer, 1TB SSD, Adobe, Laptop case, Anti-Virus, Pen Drive, JBL Speakers, PS5, PS5 controller"
Trans11,"Laptop, Monitor, Laptop case, Pen Drive, JBL Speakers, Anti-Virus"
Trans12,"Camera, Laptop, Laptop case, Pen Drive, Anti-Virus, JBL Speakers"
Trans13,"Camera, JBL Speakers"
Trans14,"Camera, Monitor, Printer, 1TB SSD, Adobe"
Trans15,"Printer, 1TB SSD, Adobe, Anti-Virus, Laptop case, JBL Speakers, Pen Drive"
Trans16,"Camera, 1TB SSD, Adobe, Anti-Virus, Laptop case, Pen Drive, JBL Speakers"
Trans17,"Camera, Laptop, Laptop case"
Trans18,"Camera, Laptop case, JBL Speakers"
Trans19,"Camera, Laptop, Printer, 1TB SSD, Adobe, JBL Speakers, Laptop case, Anti-Virus"
Trans20,"Camera, Laptop, JBL Speakers, Anti-Virus, Laptop case"
Trans21,"Laptop, PS5, PS5 controller, Printer, 1TB SSD, Adobe"
Trans22,"Monitor, PS5, PS5 controller, JBL Speakers, Pen Drive"
Trans23,"Camera, Laptop, PS5, PS5 controller, Laptop case, Anti-Virus"
Trans24,"Laptop, Printer, 1TB SSD, Adobe, PS5, PS5 controller"
Trans25,"Camera, Monitor, PS5, PS5 controller, JBL Speakers, Pen Drive"
