Transaction ID,Transaction
Trans1,"Milk, Yogurt, Berris"
Trans2,"Bedsheet, Bedframe"
Trans3,"Laundry Detergent, Comforter"
Trans4,"Milk, Wine"
Trans5,"Washi Machine, Dryer"
Trans6,"Yogurt, Berris, Milk"
Trans7,"Bedsheet, Bedframe, Refrigerator"
Trans8,"Laundry Detergent, Bedsheet"
Trans9,"Milk, Yogurt, Wine"
Trans10,"Washi Machine, Dryer, Bedsheet"
Trans11,"Laundry Detergent, Wine"
Trans12,"Bedsheet, Bedframe, Washi Machine"
Trans13,"Milk, Yogurt"
Trans14,"Dryer, Washi Machine"
Trans15,"Berris, Milk"
Trans16,"Comforter, Laundry Detergent"
Trans17,"Bedsheet, Bedframe, Berris"
Trans18,"Refrigerator, Washi Machine"
Trans19,"Bedsheet, Dryer"
Trans20,"Milk, Laundry Detergent"
Trans21,"Bedframe, Washi Machine, Dryer"
Trans22,"Wine, Berris"
Trans23,"Bedsheet, Bedframe, Dryer"
Trans24,"Refrigerator, Milk, Yogurt"
Trans25,"Washi Machine, Bedsheet, Bedframe"
